id, dx, dy, Asites, Csites, basis, n_meas_start, n_meas_end, n_meas_step, nsim, type
1-4, 10, 10, (1 1 1 1), (6-i 6-i 6-i 6-i), m, 2, 192, 2, 1000, toric
5-8, 10, 10, (1 1 1 1), (1 1 6-i 6-i), m, 2, 192, 4, 1000, toric
9-12, 10, 10, (1 1 1 1), (6-i 6-i 6-i 6-i), z, 2, 192, 4, 1000, toric
13-16, 10, 10, (1 1 1 1), (1 1 6-i 6-i), z, 2, 192, 4, 1000, toric
17-27, 10, 10, (1 1 1 1), (1 1 25-2*i 25-2*i), z, 2, 192, 4, 1000, toric
28-31, 10, 10, (1 1 1 1), (5+i 5+i 5+i 5+i), m, 2, 192, 4, 1000, toric
32-35, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), z, 2, 98, 4, 1000, cluster
36-39, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), x, 2, 98, 4, 1000, cluster
40-43, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 2, 98, 4, 1000, cluster
44-47, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), m, 2, 98, 4, 1000, cluster
48-56, 10, 10, (1 1 1 1), (1 1 1+i 1+i), m, 2, 98, 4, 1000, cluster
57-65, 10, 10, (1 1 1 1), (1 1 1+i 1+i), z, 2, 98, 4, 1000, cluster
66-74, 10, 10, (1 1 1 1), (1 1 1+i 1+i), x, 2, 98, 4, 1000, cluster
75-83, 10, 10, (1 1 1 1), (1 1 1+i 1+i), y, 2, 98, 4, 1000, cluster
84-91, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 2, 192, 4, 1000, toric
92-99, 10, 10, (1 1 1 1), (1 1 1+i 1+i), y, 2, 192, 4, 1000, toric
100-107, 10, 10, (1 1 1 1), (5 5 1+i 1+i), y, 2, 192, 4, 1000, toric
108-115, 10, 10, (1 1 1 1), (1+i 1+i 1 1), y, 2, 192, 4, 1000, toric
116-123, 10, 10, (1 1 1 1), (1+i 1+i 5 5), y, 2, 192, 4, 1000, toric
125-130, 10, 10, (1 1 2 2), (1+i 1+i 2+i 2+i), y, 2, 192, 4, 1000, toric
