id, dx, dy, Asites, Csites, nstr, Msites, basis,  nsim, type
1, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:1:nstr 1:hy, x, 1,
2, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:1:nstr 1:hy, y, 1,
3, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:2:nstr 1:hy, x, 1,
4, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:2:nstr 1:hy, y, 1,
5, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:3:nstr 1:hy, x, 1,
6, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:3:nstr 1:hy, y, 1,
8, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:2:nstr 1:hy center cut, x, 1,
9, 40, 40, (1 dx 1 1), (1 dx hy hy), dx, string 1:2:nstr 1:hy center cut, y, 1,

10, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:1:hx 2:hy-1, y, 1,
11, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:1:hx 2:hy-1, z, 1,
12, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:2:hx 2:hy-1, y, 1,
13, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:2:hx 2:hy-1, z, 1,
14, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:3:hx 2:hy-1, y, 1,
15, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:3:hx 2:hy-1, z, 1,

14, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, string 1:2:hx 2:hy-1 w/ center cut, y, 1,
15, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, string 1:2:hx 2:hy-1 w/ center cut, z, 1,
something is wrong abort these data
